stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
n9283279462,,Ezhikkara,,10.0955321,76.2346604,,,0,,,0
n9283279463,,Club padi,,10.0997923,76.2332966,,,0,,,0
n9283279464,,Palli,,10.1014235,76.2324369,,,0,,,0
n9283279465,,Kadakkara Kavala,,10.1042286,76.2309005,,,0,,,0
n9283279466,,Ayyappilly,,10.1096461,76.2295003,,,0,,,0
n9283279467,,Bypass Junction,,10.112522,76.2283958,,,0,,,0
n9283279468,,Panchayathu padi,,10.1151175,76.2274471,,,0,,,0
n9283279469,,Kundakkavu,,10.1193256,76.2260031,,,0,,,0
n9283279470,,Ice Plant,,10.1215372,76.2252431,,,0,,,0
n9283279471,,M L A Padi,,10.1249028,76.223847,,,0,,,0
n9283279472,,Kudiya Kulangara,,10.1278785,76.2227082,,,0,,,0
n9283279473,,Kannan Chira,,10.1306223,76.2225463,,,0,,,0
n9283279474,,Thaiveypu,,10.134507,76.221057,,,0,,,0
n9283279475,,Mosco,,10.1378113,76.2197499,,,0,,,0
n9283279476,,Shappupady,,10.1393006,76.2189227,,,0,,,0
n9283279477,,Ambala Padi,,10.1409824,76.2178851,,,0,,,0
n9283279478,,Perumpadanna,,10.1434578,76.2167898,,,0,,,0
n9283451324,,Thaiveypu,,10.1344833,76.2209505,,,0,,,0
n9283451326,,Kannan Chira,,10.1305518,76.2224753,,,0,,,0
n9283451329,,Kudiya Kulangara,,10.1275919,76.2225276,,,0,,,0
n9283451330,,M L A Padi,,10.1245726,76.2239116,,,0,,,0
n9283451331,,Kundakkavu,,10.1193405,76.225926,,,0,,,0
n9283451332,,Panchayathu padi,,10.1153388,76.2273053,,,0,,,0
n9283451333,,Bypass Junction,,10.1123973,76.2283494,,,0,,,0
n9283451334,,Ayyappilly,,10.1093963,76.2294142,,,0,,,0
n9283451335,,Kadakkara Kavala,,10.1042603,76.2308237,,,0,,,0
n9283451336,,Palli,,10.1013781,76.2323901,,,0,,,0
n9283451337,,Club padi,,10.0997132,76.2332524,,,0,,,0
n9283451338,,Ezhikkara,,10.0955489,76.2345292,,,0,,,0
n9283451339,,Ambala Padi,,10.1405455,76.2179552,,,0,,,0
n9283451340,,Shappupady,,10.138962,76.2189957,,,0,,,0
n9283451341,,Mosco,,10.137626,76.219744,,,0,,,0
n9290900848,,Thoppumpadi,,9.9354131,76.2617656,,,0,,,0
n9290900849,,Pyari Junction,,9.9319077,76.2663882,,,0,,,0
n9290900850,,Kazhuthumuttu,,9.9353502,76.2557416,,,0,,,0
n9290900851,,Marunnukada,,9.9233077,76.2726492,,,0,,,0
n9290900852,,Kacheripadi,,9.9141192,76.2764831,,,0,,,0
n9290900853,,Palluruthy Nada,,9.9274484,76.2711472,,,0,,,0
n9290900854,,Pandikudi,,9.9520174,76.249387,,,0,,,0
n9290900855,,Chullikkal,,9.9450511,76.2558848,,,0,,,0
n9290900856,,Kochu Palli,,9.9339301,76.2645211,,,0,,,0
n9290900857,,Kozhikkoodu,,9.9012525,76.2950814,,,0,,,0
n9290900858,,Kaithavalappu,,9.8985971,76.2953188,,,0,,,0
n9290900859,,Police Station,,9.9671068,76.2442738,,,0,,,0
n9290900860,,Kockers,,9.9591513,76.2425512,,,0,,,0
n9290900861,,Fort Kochi,,9.9679755,76.2446562,,,0,,,0
n9290900862,,Salim Kumar,,9.9056706,76.295121,,,0,,,0
n9290900863,,St Lorance School,,9.9037594,76.2949638,,,0,,,0
n9290900864,,Suriyani Palli,,9.9293573,76.2697029,,,0,,,0
n9290900865,,Aquinas college,,9.9130522,76.2876966,,,0,,,0
n9290900866,,Paravan Mukk,,9.9519526,76.2554336,,,0,,,0
n9290900868,,Kumbalam Ferry,,9.9089167,76.2948614,,,0,,,0
n9291092483,,Suriyani Palli,,9.9292806,76.2698391,,,0,,,0
n9291092485,,Edakochi,,9.8948674,76.2960765,,,0,,,0
n9291092487,,Thoppumpadi BOT,,9.9311313,76.267554,,,0,,,0
n9291092488,,Pandikudi,,9.9521541,76.2492199,,,0,,,0
n9291092489,,Chirattapalam,,9.9613647,76.2458631,,,0,,,0
n9291092490,,Harber,,9.9377627,76.2609057,,,0,,,0
n9291092491,,Salim Kumar,,9.9057412,76.295184,,,0,,,0
n9291092492,,Jetty,,9.9678764,76.2468254,,,0,,,0
n9291092493,,Palli,,9.8968401,76.2957721,,,0,,,0
n9291092494,,Kacheripadi,,9.913874,76.2768061,,,0,,,0
n9291092495,,St Lorance School,,9.9038345,76.2950633,,,0,,,0
n9291092496,,Karuvepippadi East,,9.9403124,76.2602451,,,0,,,0
n9291092497,,Fort Kochi,,9.9685784,76.2445841,,,0,,,0
n9291092498,,Aquinas Collage,,9.913115,76.2873407,,,0,,,0
n9291092499,,Kozhikkood,,9.9013659,76.2951988,,,0,,,0
n9291092500,,Karuvepippadi,,9.9430472,76.2599585,,,0,,,0
n9291092501,,Palluruthy Veli,,9.9191352,76.2746374,,,0,,,0
n9291092502,,Marunnukada,,9.9231013,76.2729294,,,0,,,0
n9291092503,,Taluk Hospital,,9.9660791,76.2455155,,,0,,,0
n9291092504,,Kochu Palli,,9.9339116,76.2646171,,,0,,,0
n9291092505,,Kaithavalappu,,9.8987149,76.2953864,,,0,,,0
n9291092506,,Palluruthy Nada,,9.9266203,76.2714888,,,0,,,0
n9291092507,,Kockers,,9.9592581,76.2453692,,,0,,,0
n9291092508,,Kumbalam Ferry,,9.9088577,76.2949406,,,0,,,0
n9291092509,,Thoppumpadi,,9.9353445,76.2634284,,,0,,,0
n9291092510,,Panayappilly,,9.9495233,76.257565,,,0,,,0
n9291092511,,Palli,,9.8967595,76.2957107,,,0,,,0
n9297193980,,Vallarpadam Junction,,9.9871007,76.2534669,,,0,,,0
n9297193984,,Panambukad,,10.0114682,76.2418265,,,0,,,0
n9297193985,,Ambalam,,10.0093271,76.2429547,,,0,,,0
n9297193986,,Padakkad,,10.0071123,76.2441677,,,0,,,0
n9297193987,,Compression Mukku,,10.0042833,76.2449415,,,0,,,0
n9297193988,,Adikandath Temple,,10.0019635,76.2458863,,,0,,,0
n9297193989,,Karthedam Bank,,10.000445,76.2462303,,,0,,,0
n9297193992,,Vayanashala,,9.9984807,76.2468204,,,0,,,0
n9297193998,,Naduchira Paalam,,9.9966366,76.2471835,,,0,,,0
n9297193999,,Booth,,9.9941216,76.2470993,,,0,,,0
n9297194000,,Vallarpadam Church,,9.9907242,76.2496089,,,0,,,0
n9297289170,,Bolgatty,,9.9914827,76.2649535,,,0,,,0
n9297289171,,Vallarpadam Junction,,9.9871691,76.2535393,,,0,,,0
n9297289172,,Vallarpadam Church,,9.9907021,76.2499478,,,0,,,0
n9297289173,,Booth,,9.994005,76.2471946,,,0,,,0
n9297289174,,Naduchira Paalam,,9.9966865,76.2472167,,,0,,,0
n9297289175,,Vayanashala,,9.998521,76.2468683,,,0,,,0
n9297289176,,Karthedam Bank,,10.000648,76.2461914,,,0,,,0
n9297289177,,Adikandath Temple,,10.0019664,76.245999,,,0,,,0
n9297289178,,Compression Mukku,,10.0042566,76.2450262,,,0,,,0
n9297289179,,Padakkad,,10.007137,76.2442232,,,0,,,0
n9297289180,,Ambalam,,10.0093527,76.2429865,,,0,,,0
n9297289181,,Panambukad,,10.0114722,76.2418918,,,0,,,0
