line_id,route_id,line_name,route_name
r13577501,r13577500,Kaloor ↔ Poothotta,Kaloor → Poothotta
r13577501,r13577499,Kaloor ↔ Poothotta,Poothotta → Kaloor
r13586170,r13718236,Kaloor ↔ Poothotta (via Kathrikadvu Road),Kaloor → Poothotta
r13586170,r13586168,Kaloor ↔ Poothotta (via Kathrikadvu Road),Poothotta → Kaloor
r13589067,r13589065,Aluva ↔ Poothotta,Aluva → Poothotta
r13589067,r13589064,Aluva ↔ Poothotta,Poothotta → Aluva
r13590426,r13590425,Aluva ↔ Chottanikara,Aluva → Chottanikara
r13590426,r13590424,Aluva ↔ Chottanikara,Chottanikara → Aluva
r13590488,r13590487,Aluva ↔ Eloor,Aluva → Eloor
r13590488,r13590486,Aluva ↔ Eloor,Eloor → Aluva
r13594889,r13594888,Aluva ↔ Wellington Island (via NAD and Padma),Aluva → Wellington Island (via NAD and Padma)
r13594889,r13594887,Aluva ↔ Wellington Island (via NAD and Padma),Wellington Island → Aluva (via NAD and Padma)
r13595088,r13595086,Aluva ↔ Thoppumpady via Padma,Aluva → Thoppumpady
r13595088,r13595087,Aluva ↔ Thoppumpady via Padma,Thoppumpady → Aluva
r13600778,r13600776,Edakochi ↔ Ponekkara,Edakochi → Ponekkara
r13600778,r13600777,Edakochi ↔ Ponekkara,Ponekkara → Edakochi
r13601640,r13601639,Aluva ↔ Kalamassery,Aluva → Kalamassery
r13601640,r13601638,Aluva ↔ Kalamassery,Kalamassery → Aluva
r13606652,r13606650,Kumbalangi ↔ Ponekkara,Kumbalangi → Ponekkara
r13606652,r13606651,Kumbalangi ↔ Ponekkara,Ponekkara → Kumbalangi
r13606821,r13606820,Mattancherry ↔ Ponekkara,Mattancherry → Ponekkara
r13606821,r13606819,Mattancherry ↔ Ponekkara,Ponekkara → Mattancherry
r13606906,r13606905,Thrippoonithura ↔ Vyttila Mobility Hub,Thrippoonithura → Vyttila Mobility Hub
r13606906,r13606904,Thrippoonithura ↔ Vyttila Mobility Hub,Vyttila Mobility Hub → Thrippoonithura
r13606972,r13606970,Aluva ↔ Keezhmadu,Aluva → Keezhmadu
