stop_point_id,name,latitude,longitude,local_ref,wheelchair,shelter
n7102015141,Angaadi,10.1706596,76.1787975,,,
n7102015142,Angaadi,10.1707732,76.1790015,,,
n7102015143,Mani Bazar,10.1714303,76.1774149,,,yes
n7102015144,Mani Bazar,10.1712003,76.1773992,,,no
n7102015145,Beach Road,10.1748594,76.1752079,,,no
n7102015146,Beach Road,10.1743158,76.1759077,,,no
n7102015147,Ayyaar Valavu,10.1801797,76.1720955,,,no
n7102015148,IR Valavu,10.1802576,76.1724213,,,yes
n7102128834,Mahilappadi,10.123501,76.2387995,,,no
n7102128835,Mahilappadi,10.123653,76.2388447,,,no
n7102133726,Pukkaad,10.0307663,76.2391666,,,no
n7102134354,Thekke Naaluvazhi,10.1404953,76.2294122,,,no
n7102134410,Sankaparambu,10.1225387,76.2346211,,,
n7102134411,Sankaparambu,10.1224479,76.2345872,,,
n7102134413,Kshemodaya Sangam,10.1250696,76.2306759,,,
n7102134414,Kshemodaya Sangam,10.1251693,76.2307387,,,
n7102134432,Metropolitan Club,10.1270209,76.2294036,,,
n7102134433,Metropolitan Club,10.1270772,76.2294885,,,
n7102134434,Ghandhi Mandiram,10.1293274,76.228604,,,
n7102134435,Ghandhi Mandiram,10.1293867,76.2286922,,,
n7102134436,Kaalikulangara Temple,10.1320245,76.2278134,,,
n7102134437,Kaalikulangara Temple,10.1321097,76.2278766,,,
n7102134475,Ameparambu,10.1351255,76.2257978,,,
n7102134476,Ameparambu,10.1351012,76.2258809,,,
n7130769338,Maharajas Ground,9.972249,76.2861966,,,no
n7130826462,Valanjambalam,9.9647499,76.2887885,,,
n7131595937,Kadavanthra,9.966629,76.2987001,,,yes
n7131609339,Pallimukk,9.9638534,76.2860633,,,no
n7131609340,Gandhi Square,9.9676405,76.2808781,,,no
n7151947331,Peruvaaram,10.1415319,76.2366632,,,yes
n7151947332,Peruvaaram,10.1413386,76.2368672,,,yes
n7151965119,Cheriyappilly,10.1235656,76.2449451,,,no
n7151965120,Cheriyappilly,10.12315,76.245264,,,no
n7172652013,Kottuvally North,10.1110507,76.2439943,,,no
n7175749744,Convent Junction,9.9755432,76.2804892,,,no
n7175749745,Rajiv Gandhi Indoor Stadium,9.9683799,76.2983924,,,
n7175749752,Kadavanthara Junction,9.9674266,76.3000523,,,no
n7175922504,Janatha,9.9680792,76.312784,,,
n7184625487,Ambala Kadavu,9.9993388,76.2211953,,,yes
n7195273286,Koonammavu,10.100644,76.2641266,,,yes
n7195273583,Idukki Junction,10.084414,76.3140129,,,no
n7195273584,Idukki Junction,10.0837853,76.3146344,,,yes
n7232403907,Block Panchayath,10.1963569,76.3881225,,,
n7294644885,Thayyezhuth Vazhi,10.075576,76.2113115,,,no
n7318426693,Oliyaan Kappela,10.1885693,76.3929167,,,no
